    36	16.250  -98.100   8.3 3.6  ; 3 ;  1571.0 2397356.0 ;  2018/11/17,14:44:31.00 2018/11/17,15:10:42.00 2018/12/15,09:06:38.00 ;  15048100 15048400 15269500
    37	16.260  -98.140  11.5 3.4  ; 2 ;  1448105.0 ;  2018/11/16,05:05:27.00 2018/12/02,23:20:32.00 ;  15038900 15170800
    38	16.040  -98.370   6.5 3.5  ; 2 ;  1924578.0 ;  2018/11/06,21:28:04.00 2018/11/29,04:04:22.00 ;  14981700 15140300
    39	16.080  -97.190  25.0 3.5  ; 2 ;  563.0 ;  2018/11/01,18:48:17.00 2018/11/01,18:57:40.00 ;  14943100 14943200
    40	16.005  -97.940   6.5 3.2  ; 2 ;  21441946.0 ;  2018/10/31,23:14:55.00 2019/07/07,03:20:41.00 ;  14936800 16802200
    41	16.325  -97.830   5.0 3.6  ; 2 ;  6243641.0 ;  2018/10/29,16:27:15.00 2019/01/09,22:47:56.00 ;  14922200 15469200
    42	16.250  -98.105  11.1 3.5  ; 2 ;  824.0 ;  2018/10/26,11:06:58.00 2018/10/26,11:20:42.00 ;  14897000 14897200
    43	15.415  -96.530  16.2 3.8  ; 2 ;  16341596.0 ;  2018/09/19,06:22:31.00 2019/03/27,09:42:27.00 ;  14694700 16127600
    44	16.280  -98.110  13.4 3.7  ; 2 ;  10792808.0 ;  2018/09/18,14:15:44.00 2019/01/21,12:15:52.00 ;  14690700 15568800
    45	16.255  -98.055   9.1 3.6  ; 2 ;  25399.0 ;  2018/09/06,09:29:42.00 2018/09/06,16:33:01.00 ;  14615000 14616800
    46	15.935  -98.410  14.8 3.5  ; 2 ;  25028.0 ;  2018/08/27,13:52:59.00 2018/08/27,20:50:07.00 ;  14550800 14552300
    47	16.280  -98.115  13.0 3.6  ; 2 ;  21866658.0 ;  2018/08/17,15:45:47.00 2019/04/27,17:50:05.00 ;  14491000 16357200
    48	16.166  -99.197  12.4 3.8  ; 2 ;  30643249.0 ;  2018/08/11,06:43:42.00 2019/07/31,22:44:31.00 ;  14444600 16971700
    49	16.050  -98.692  15.1 3.4  ; 3 ;  12726630.0 30959641.0 ;  2018/08/05,11:03:21.00 2018/12/30,18:13:51.00 2019/12/24,02:07:52.00 ;  14401600 15391700 17968800
    50	16.315  -97.825   3.1 3.7  ; 2 ;  13765604.0 ;  2018/08/01,01:35:13.00 2019/01/07,09:21:57.00 ;  14371700 15449700
    51	15.945  -97.985  14.2 3.5  ; 2 ;  20836635.0 ;  2018/07/31,09:29:27.00 2019/03/29,13:26:42.00 ;  14366500 16147000
    52	15.960  -97.950   8.0 3.5  ; 2 ;  20734680.0 ;  2018/07/31,09:27:13.00 2019/03/28,09:05:13.00 ;  14366400 16137000
    53	15.915  -98.270   9.6 3.6  ; 2 ;  9852609.0 ;  2018/07/26,17:07:53.00 2018/11/17,17:58:02.00 ;  14330700 15049600
    54	16.010  -98.670  15.1 3.8  ; 2 ;  25364990.0 ;  2018/07/24,16:18:13.00 2019/05/14,06:08:03.00 ;  14318600 16465900
    55	16.011  -97.553  21.4 3.5  ; 2 ;  50913786.0 ;  2018/07/24,00:18:55.00 2020/03/04,07:02:01.00 ;  14313800 18979600
    56	16.285  -97.835  11.0 3.5  ; 2 ;  11355624.0 ;  2018/07/17,13:19:24.00 2018/11/25,23:39:48.00 ;  14268300 15114400
    57	16.280  -98.060  10.1 3.5  ; 2 ;  22322133.0 ;  2018/07/12,09:09:07.00 2019/03/27,17:44:40.00 ;  14227600 16131100
    58	16.280  -98.100   9.5 3.6  ; 2 ;  19845212.0 ;  2018/07/10,04:56:44.00 2019/02/24,21:30:16.00 ;  14210000 15855500
    59	16.035  -97.650  14.0 3.5  ; 2 ;  19113169.0 ;  2018/07/06,13:55:49.00 2019/02/12,19:08:38.00 ;  14186200 15763900
    60	16.235  -98.035   4.5 3.5  ; 2 ;  219341.0 ;  2018/06/17,15:56:46.00 2018/06/20,04:52:27.00 ;  14035800 14058200
    61	16.040  -97.655  28.8 3.7  ; 2 ;  7345818.0 ;  2018/06/09,10:11:33.00 2018/09/02,10:41:51.00 ;  13969600 14586500
    62	15.905  -98.420  15.5 3.8  ; 2 ;  10488.0 ;  2018/05/28,09:27:21.00 2018/05/28,12:22:09.00 ;  13861200 13862500
    63	16.300  -98.301   8.1 4.0  ; 2 ;  53968011.0 ;  2018/05/28,06:14:28.00 2020/02/11,21:21:19.00 ;  13859600 18804800
    64	16.500  -98.475  29.5 3.7  ; 2 ;  63605953.0 ;  2018/05/27,16:35:29.00 2020/06/01,20:54:42.00 ;  13854900 19588000
    65	16.310  -97.825   4.3 3.7  ; 2 ;  7412259.0 ;  2018/05/26,10:18:40.00 2018/08/20,05:16:19.00 ;  13845800 14504500
    66	16.270  -98.115  10.0 3.6  ; 2 ;  27742274.0 ;  2018/05/25,07:27:08.00 2019/04/11,09:38:22.00 ;  13836900 16244200
    67	16.290  -98.090  12.5 3.6  ; 2 ;  247686.0 ;  2018/05/21,07:07:36.00 2018/05/24,03:55:42.00 ;  13810400 13826600
    68	16.245  -98.100  10.5 3.7  ; 2 ;  4054425.0 ;  2018/05/15,13:04:59.00 2018/07/01,11:18:44.00 ;  13771000 14148700
    69	16.170  -97.805   7.0 3.5  ; 2 ;  27399253.0 ;  2018/05/15,10:21:43.00 2019/03/28,13:15:56.00 ;  13769800 16139400
    70	16.733  -99.436   5.0 3.7  ; 2 ;  44724808.0 ;  2018/05/13,23:42:51.00 2019/10/13,15:16:19.00 ;  13758100 17449400
    71	16.040  -97.900  14.0 3.5  ; 2 ;  32383861.0 ;  2018/05/10,01:36:14.00 2019/05/19,21:07:15.00 ;  13727500 16496600
    72	16.605  -98.556  27.9 3.6  ; 2 ;  40244385.0 ;  2018/05/09,00:27:42.00 2019/08/17,19:27:27.00 ;  13717600 17084000
    73	16.255  -98.095  12.2 3.4  ; 2 ;  8066719.0 ;  2018/05/07,11:02:59.00 2018/08/08,19:48:18.00 ;  13704500 14427600
    74	16.307  -97.827   4.0 3.6  ; 3 ;  127685.0 35561.0 ;  2018/05/07,01:57:38.00 2018/05/08,13:25:43.00 2018/05/08,23:18:24.00 ;  13699900 13712600 13717100
    75	16.325  -98.260  11.5 3.9  ; 2 ;  35381921.0 ;  2018/05/06,10:43:45.00 2019/06/19,23:02:26.00 ;  13695300 16693100
    76	16.291  -98.380   4.5 3.6  ; 2 ;  45897362.0 ;  2018/05/05,20:57:42.00 2019/10/19,02:13:44.00 ;  13691800 17491800
    77	16.305  -97.860  18.0 3.1  ; 2 ;  1911031.0 ;  2018/05/04,17:37:40.00 2018/05/26,20:28:11.00 ;  13682300 13849800
    78	16.295  -97.850  14.5 3.3  ; 2 ;  57685.0 ;  2018/05/04,12:17:42.00 2018/05/05,04:19:07.00 ;  13680400 13685600
    79	16.375  -97.990  11.5 3.8  ; 2 ;  26050348.0 ;  2018/05/01,20:56:58.00 2019/02/27,09:09:26.00 ;  13655900 15877300
    80	16.305  -97.825   2.0 3.6  ; 2 ;  1284531.0 ;  2018/04/24,13:23:48.00 2018/05/09,10:12:39.00 ;  13596900 13721700
    81	16.063  -97.608  16.6 3.7  ; 2 ;  63416331.0 ;  2018/04/22,18:32:39.00 2020/04/25,18:11:30.00 ;  13582700 19347800
    82	16.275  -98.105  11.5 3.7  ; 2 ;  4721.0 ;  2018/04/21,18:35:47.00 2018/04/21,19:54:28.00 ;  13576000 13576400
    83	16.635  -98.630   3.5 3.5  ; 2 ;  959.0 ;  2018/04/15,17:32:33.00 2018/04/15,17:48:32.00 ;  13531300 13531400
    84	16.315  -98.045   8.5 3.6  ; 2 ;  3162080.0 ;  2018/04/12,22:37:50.00 2018/05/19,12:59:10.00 ;  13507000 13800100
    85	15.885  -98.325   8.5 3.5  ; 2 ;  26010908.0 ;  2018/04/03,14:05:28.00 2019/01/29,15:20:36.00 ;  13425900 15638800
    86	16.280  -98.095  14.6 3.7  ; 2 ;  10268319.0 ;  2018/04/02,11:01:23.00 2018/07/30,07:20:02.00 ;  13415600 14358000
    87	16.155  -98.795  10.5 3.8  ; 2 ;  39646086.0 ;  2018/03/30,18:22:13.00 2019/07/02,15:10:19.00 ;  13395000 16775100
    88	16.008  -97.982   4.7 3.7  ; 3 ;  20283595.0 30607805.0 ;  2018/03/30,14:17:17.00 2018/11/20,08:37:12.00 2019/11/09,14:47:17.00 ;  13394200 15068100 17636800
    89	15.920  -97.975   8.0 3.5  ; 2 ;  18973362.0 ;  2018/03/28,18:52:44.00 2018/11/03,09:15:26.00 ;  13378200 14958000
    90	16.260  -98.055  10.0 3.3  ; 2 ;  20644.0 ;  2018/03/23,16:17:31.00 2018/03/23,22:01:35.00 ;  13329200 13331200
    91	16.047  -97.183  27.3 3.6  ; 3 ;  305284.0 5048314.0 ;  2018/03/22,02:16:52.00 2018/03/25,15:04:56.00 2018/05/23,01:23:30.00 ;  13311900 13346700 13819900
    92	16.425  -97.920   6.0 3.7  ; 2 ;  5778499.0 ;  2018/03/21,08:35:21.00 2018/05/27,05:43:40.00 ;  13305700 13852200
    93	16.045  -97.170  20.2 3.7  ; 2 ;  12010011.0 ;  2018/03/17,21:36:40.00 2018/08/03,21:43:31.00 ;  13264500 14388700
    94	16.450  -97.890  15.5 3.3  ; 2 ;  3889854.0 ;  2018/03/17,08:10:16.00 2018/05/01,08:41:10.00 ;  13259500 13650700
    95	15.655  -97.894  10.6 3.8  ; 2 ;  51413714.0 ;  2018/03/16,02:48:21.00 2019/11/01,04:23:35.00 ;  13247200 17585300
    96	16.305  -98.175  14.0 3.4  ; 2 ;  9718092.0 ;  2018/03/11,23:22:21.00 2018/07/02,10:50:33.00 ;  13209200 14155900
    97	15.985  -97.650  15.5 3.5  ; 2 ;  70424382.0 ;  2018/03/05,16:47:15.00 2020/05/28,19:06:57.00 ;  13144400 19564900
