    26	16.882 -100.257   7.6 3.5   ;  8 ; 29769190.000 67249476.000 79037942.000 106483235.000 174975616.000 222382308.000 233474147.000  ; 2015/05/12,03:12:41.00 2016/04/20,16:25:51.00 2017/06/28,11:37:17.00 2017/11/11,21:11:43.00 2018/09/25,13:53:16.00 2020/11/26,06:32:57.00 2022/05/29,00:04:29.00 2022/10/04,09:08:28.00 ; 03862100 04861300 06674700 08020400 10791200 16584000 20283000 21108500 
    27	16.104  -97.749  16.9 3.9   ;  3 ; 3844151.000 19031599.000  ; 2018/02/17,08:03:37.00 2018/04/02,20:52:48.00 2018/09/25,15:36:56.00 ; 08904600 09509900 10791500 
    28	16.287  -98.267  14.3 3.8   ;  2 ; 99670533.000  ; 2018/09/26,07:37:31.00 2021/11/22,20:53:04.00 ; 10795500 19030500 
    29	15.938  -98.739  16.2 4.1   ;  2 ; 38556251.000  ; 2018/09/27,14:25:19.00 2019/12/17,19:29:30.00 ; 10803200 13871300 
    30	16.034  -97.661  17.5 3.7   ;  5 ; 116493723.000 129841418.000 228935552.000 242532427.000  ; 2015/01/24,23:17:25.00 2018/10/04,07:39:28.00 2019/03/07,18:21:03.00 2022/04/27,17:29:57.00 2022/10/02,02:24:32.00 ; 03559800 10834000 11987700 20090300 21088400 
    31	16.158  -97.506  26.4 3.5   ;  2 ; 56486686.000  ; 2018/10/04,08:15:21.00 2020/07/19,03:00:07.00 ; 10834300 15785200 
    32	16.146  -97.471  18.6 3.7   ;  2 ; 81366032.000  ; 2018/10/05,03:24:43.00 2021/05/03,21:05:15.00 ; 10836400 17690300 
    33	14.861  -92.880  51.2 3.9   ;  2 ; 221041917.000  ; 2011/10/05,10:16:21.00 2018/10/06,18:48:18.00 ; 01843200 10843900 
    34	16.192  -97.518  16.1 3.7   ;  2 ; 32337037.000  ; 2018/10/09,03:41:49.00 2019/10/18,10:12:26.00 ; 10855400 13455900 
    35	16.092  -97.538   5.0 3.6   ;  2 ; 76943788.000  ; 2018/10/10,07:31:23.00 2021/03/18,19:47:51.00 ; 10862200 17406200 
    36	16.708  -99.648  10.2 3.7   ;  3 ; 105723425.000 166926773.000  ; 2015/06/04,19:35:30.00 2018/10/10,11:12:35.00 2020/09/17,20:08:23.00 ; 03925700 10862900 16156300 
    37	14.767  -92.976  34.6 3.8   ;  2 ; 29675098.000  ; 2017/11/02,11:31:04.00 2018/10/11,23:36:02.00 ; 07920900 10870000 
    38	16.900 -100.252   6.5 3.4   ;  3 ; 69289711.000 111981097.000  ; 2018/10/16,23:38:38.00 2020/12/26,21:47:09.00 2022/05/05,01:30:15.00 ; 10894700 16787100 20137100 
    39	16.590  -98.751   8.6 4.0   ;  2 ; 112727191.000  ; 2015/03/25,09:53:03.00 2018/10/20,03:59:34.00 ; 03718300 10912400 
    40	16.808  -98.215  21.2 4.0   ;  2 ; 189544352.000  ; 2012/10/22,08:21:25.00 2018/10/25,03:33:57.00 ; 02261100 10942600 
    41	16.552  -98.463   4.2 3.5   ;  2 ; 187669389.000  ; 2012/11/15,21:38:10.00 2018/10/28,01:01:19.00 ; 02312500 10964600 
    42	16.927 -100.760  12.9 3.7   ;  5 ; 94316022.000 148869384.000 199666669.000 266715698.000  ; 2014/02/08,17:47:04.00 2017/02/04,08:40:46.00 2018/10/28,18:23:28.00 2020/06/07,17:44:53.00 2022/07/23,18:28:42.00 ; 02896700 06099200 10970500 15525800 20635700 
    43	16.003  -97.942   8.3 3.4   ;  3 ; 21438346.000 77356531.000  ; 2018/10/31,23:14:55.00 2019/07/07,03:20:41.00 2021/04/14,08:10:26.00 ; 10991300 12800800 17572600 
    44	15.998  -98.702  15.8 3.6   ;  2 ; 76801502.000  ; 2016/05/28,06:42:41.00 2018/11/03,03:27:43.00 ; 05040600 11009200 
    45	16.036  -97.666  18.5 3.5   ;  4 ; 99410055.000 112968673.000 235486691.000  ; 2015/04/06,09:59:58.00 2018/05/30,23:54:13.00 2018/11/03,21:11:11.00 2022/09/21,22:58:09.00 ; 03754400 09957200 11015500 20974600 
    46	16.628 -100.441   4.0 4.1   ;  2 ; 282898540.000  ; 2009/11/18,05:52:41.00 2018/11/05,12:48:21.00 ; 01316000 11025300 
    47	16.013  -97.636  16.5 3.4   ;  3 ; 49889047.000 83114172.000  ; 2017/04/09,14:25:55.00 2018/11/07,23:30:02.00 2019/11/27,12:42:07.00 ; 06353900 11045200 13726300 
    48	16.032  -97.638  11.4 3.6   ;  2 ; 96057753.000  ; 2018/11/08,09:55:35.00 2021/11/24,04:38:08.00 ; 11049500 19039900 
    49	16.694  -99.653  13.0 3.5   ;  3 ; 263683123.000 376083811.000  ; 2010/07/02,04:26:44.00 2018/11/09,00:45:27.00 2022/06/02,00:10:15.00 ; 01459400 11053000 20314500 
    50	16.552 -100.621  14.9 4.0   ;  2 ; 107186734.000  ; 2015/06/25,14:42:14.00 2018/11/17,03:47:48.00 ; 03974700 11096900 
    51	16.262  -98.111  10.6 3.8   ;  2 ; 118098345.000  ; 2018/11/18,14:01:12.00 2022/08/16,12:06:57.00 ; 11106500 20765900 
    52	16.202  -98.755  16.1 3.8   ;  2 ; 60348225.000  ; 2016/12/20,19:20:44.00 2018/11/19,06:44:29.00 ; 05922300 11111800 
    53	15.988  -97.980   7.1 3.8   ;  4 ; 20283596.000 50891401.000 96992619.000  ; 2018/03/30,14:17:16.00 2018/11/20,08:37:12.00 2019/11/09,14:47:17.00 2021/04/26,05:40:55.00 ; 09485600 11117900 13596900 17646400 
    54	16.314  -97.864   5.0 3.8   ;  2 ; 171781.000  ; 2018/11/28,17:18:41.00 2018/11/30,17:01:42.00 ; 11184700 11199500 
    55	16.413  -99.621   6.7 3.8   ;  2 ; 292105804.000  ; 2009/01/06,04:04:04.00 2018/04/10,01:34:08.00 ; 01126800 09571400 
    56	16.280  -99.640   8.7 4.0   ;  2 ; 263638528.000  ; 2009/01/06,17:22:16.00 2017/05/16,03:17:44.00 ; 01127100 06481100 
    57	15.949  -97.995  13.3 3.7   ;  2 ; 88591387.000  ; 2018/12/11,09:47:32.00 2021/10/01,19:30:39.00 ; 11287000 18680200 
    58	16.077  -98.891  16.1 3.8   ;  2 ; 177102720.000  ; 2013/05/02,11:40:07.00 2018/12/12,05:52:07.00 ; 02521000 11293300 
    59	16.295  -98.090  12.8 3.8   ;  2 ; 25795197.000  ; 2018/12/14,17:10:16.00 2019/10/09,07:30:13.00 ; 11317200 13387500 
    60	16.039  -97.602  14.2 3.6   ;  3 ; 120573883.000 226168325.000  ; 2015/02/19,11:09:57.00 2018/12/15,23:54:40.00 2022/04/21,04:42:02.00 ; 03619300 11330200 20051000 
    61	16.787 -100.082   4.3 4.0   ;  3 ; 37736410.000 403512699.000  ; 2009/01/25,19:46:01.00 2010/04/07,15:06:11.00 2021/11/09,02:37:40.00 ; 01137400 01406200 18931400 
